,8,12,50,51,233,234,236,237
8,66.0,16.0,8.0,48.0,20.0,33.0,9.0,7.0
12,16.0,58.0,14.0,38.0,14.0,30.0,8.0,14.0
50,8.0,14.0,32.0,14.0,0.0,8.0,0.0,0.0
51,51.0,43.0,16.0,76.0,26.0,49.0,18.0,10.0
233,23.0,15.0,0.0,23.0,60.0,29.0,0.0,29.0
234,31.0,31.0,8.0,47.0,29.0,85.0,17.0,13.0
236,9.0,10.0,0.0,19.0,0.0,19.0,26.0,0.0
237,9.0,17.0,0.0,9.0,34.0,16.0,0.0,43.0
